Job titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Plumber,15%,189,1028,0.18385214,Supply Chain & Logistics
Scaffold Builder,15%,465,1840,0.252717391,Law Enforcement
Welder,15%,515,2097,0.245588937,Construction
Executive Recruiter,15%,947,3897,0.243007442,Sales & Marketing
Business Specialist,15%,1247,5360,0.232649254,Hospitality
Assistant Operations Manager,15%,1134,4936,0.229740681,Communication & PR
Paraprofessional,15%,1040,4613,0.225449816,Data & IT
Chief Diversity Officer,15%,870,3222,0.270018622,Administrative & Clerical
Design Manager,15%,1297,5252,0.246953542,Leadership & Strategy
Lacrosse Coach,15%,399,1707,0.233743409,Medical & Healthcare
Swim Coach,15%,394,1700,0.231764706,Supply Chain & Logistics
Tennis Coach,15%,392,1698,0.230859835,Law Enforcement
Volleyball Coach,15%,393,1695,0.231858407,Construction
Wrestling Coach,15%,392,1693,0.231541642,Sales & Marketing
Electrical Assistant,15%,336,1274,0.263736264,Hospitality
Electrician,15%,324,1222,0.265139116,Communication & PR
Electrician Helper,15%,316,1200,0.263333333,Data & IT
Dock Supervisor,15%,772,2986,0.258539853,Administrative & Clerical
Journeyman Electrician,15%,330,1256,0.262738854,Leadership & Strategy
Journeyman Lineman,15%,333,1190,0.279831933,Medical & Healthcare
Plant Supervisor,15%,735,3079,0.238713868,Supply Chain & Logistics
Nurse Supervisor,15%,552,2365,0.233403805,Law Enforcement
Pharmacy Manager,15%,691,2759,0.250453063,Construction
Football Coach,15%,402,1708,0.235362998,Sales & Marketing
Gymnastics Coach,15%,401,1749,0.229273871,Hospitality
Soccer Coach,15%,407,1729,0.235396183,Communication & PR
Bid Manager,15%,1060,4503,0.235398623,Data & IT
Interpreter,15%,767,3843,0.199583659,Administrative & Clerical
Team Manager,15%,1131,4894,0.231099305,Leadership & Strategy
Baggage Handler,15%,281,1102,0.254990926,Medical & Healthcare
Food Runner,15%,462,1985,0.232745592,Supply Chain & Logistics
Surveillance Operator,15%,615,2665,0.230769231,Law Enforcement
Chief Marketing Officer,15%,1268,5313,0.238659891,Construction
Executive Director,15%,1129,4402,0.25647433,Sales & Marketing
Managing Director,15%,1116,4285,0.260443407,Hospitality
Senior Vice President,15%,1065,4113,0.258935084,Communication & PR
Helper,15%,545,2280,0.239035088,Data & IT
Summer Camp Counselor,15%,990,4169,0.237467018,Administrative & Clerical
Property Manager,15%,1028,4703,0.218583883,Leadership & Strategy
Real Estate Developer,15%,956,4077,0.234486142,Medical & Healthcare
Inventory Supervisor,15%,913,3625,0.251862069,Supply Chain & Logistics
Investment Officer,15%,986,3652,0.269989047,Law Enforcement
Revenue Manager,15%,1042,4230,0.246335697,Construction
Senior Staff Accountant,15%,941,3944,0.238590264,Sales & Marketing
Admissions Representative,15%,1082,4543,0.238168611,Hospitality
Assistant Registrar,15%,988,4086,0.241801273,Communication & PR
Junior Copywriter,15%,1266,5425,0.233364055,Data & IT
Landscape Designer,15%,694,3033,0.228816353,Administrative & Clerical
Business Advisor,15%,1242,5280,0.235227273,Leadership & Strategy
Contract Manager,15%,1135,4512,0.251551418,Medical & Healthcare
Director Of Environmental Services,15%,891,3549,0.251056636,Supply Chain & Logistics
Business Assistant,15%,1127,4627,0.243570348,Law Enforcement
Diversity Manager,15%,851,3555,0.239381153,Construction
Executive,15%,1191,4966,0.23983085,Sales & Marketing
General Counsel,15%,1056,4223,0.2500592,Hospitality
Grants Manager,15%,1047,4597,0.227757233,Communication & PR
Management Trainee,15%,942,3787,0.248745709,Data & IT
Medical Director,15%,821,3394,0.241897466,Administrative & Clerical
Membership Director,15%,749,3073,0.243735763,Leadership & Strategy
President,15%,756,3329,0.227095224,Medical & Healthcare
Principal,15%,752,3340,0.225149701,Supply Chain & Logistics
Resident Director,15%,665,2491,0.26696106,Law Enforcement
School Director,15%,724,3011,0.240451677,Construction
Vice President,15%,1127,4334,0.260036917,Sales & Marketing
Part Time Sales Associate,15%,701,2858,0.245276417,Hospitality
Sales Clerk,15%,892,4091,0.218039599,Communication & PR
Sales Contractor,15%,915,4355,0.21010333,Data & IT
Sales Engineer,15%,968,4215,0.229655991,Administrative & Clerical
Sales Professional,15%,959,4467,0.214685471,Leadership & Strategy
Salesman,15%,950,4446,0.213675214,Medical & Healthcare
Strategic Account Manager,15%,1209,5127,0.235810415,Supply Chain & Logistics
Technical Sales Manager,15%,1185,5065,0.233958539,Law Enforcement
Territory Manager,15%,1122,4841,0.231770295,Construction
Vendor,15%,950,4426,0.214640759,Sales & Marketing
Yacht Broker,15%,886,3668,0.241548528,Hospitality
Certified Nursing Assistant,15%,438,1579,0.277390754,Communication & PR
Clinical Nursing Instructor,15%,668,2878,0.232105629,Data & IT
Mds Nurse,15%,472,1856,0.254310345,Administrative & Clerical
Nurse Anesthetist,15%,444,1696,0.261792453,Leadership & Strategy
Nurse Educator,15%,562,2345,0.239658849,Medical & Healthcare
Telephone Triage Nurse,15%,535,2609,0.20505941,Supply Chain & Logistics
Triage Nurse,15%,510,2369,0.215280709,Law Enforcement
Camp Director,15%,805,3243,0.24822695,Construction
Community Planner,15%,845,3610,0.234072022,Sales & Marketing
Night,15%,245,912,0.268640351,Hospitality
Signing Agent,15%,333,1851,0.179902755,Communication & PR
Traveler,15%,708,3088,0.229274611,Data & IT
Assistant Engineer,15%,845,3010,0.280730897,Administrative & Clerical
Boiler Operator,15%,676,2196,0.307832423,Leadership & Strategy
Bridge Inspector,15%,787,2764,0.284732272,Medical & Healthcare
Building Engineer,15%,1009,4044,0.24950544,Supply Chain & Logistics
Civil Engineering Technician,15%,987,3995,0.247058824,Law Enforcement
Construction Inspector,15%,898,3614,0.248478141,Construction
Corrosion Technician,15%,750,2541,0.295159386,Sales & Marketing
Cost Engineer,15%,1011,3766,0.268454594,Hospitality
Director Of Engineering,15%,1180,4432,0.266245487,Communication & PR
Electrical Engineering Technician,15%,1075,4411,0.24370891,Data & IT
Engineering Director,15%,1159,4344,0.266804788,Administrative & Clerical
Engineering Manager,15%,1164,4382,0.265632131,Leadership & Strategy
Engineering Technician,15%,1045,4243,0.246288004,Medical & Healthcare
Gas Technician,15%,545,2418,0.225392887,Supply Chain & Logistics
Human Factors Engineer,15%,729,2803,0.260078487,Law Enforcement
Industrial Electrician,15%,507,2062,0.245877789,Construction
Industrial Mechanic,15%,535,2331,0.22951523,Sales & Marketing
Instrument Technician,15%,771,3035,0.254036244,Hospitality
Junior Engineer,15%,966,3547,0.272342825,Communication & PR
Mechanical Engineering Technician,15%,469,1710,0.274269006,Data & IT
Nuclear Engineer,15%,458,1671,0.274087373,Administrative & Clerical
Plumbing Engineer,15%,457,1654,0.276299879,Leadership & Strategy
Power Plant Engineer,15%,152,626,0.242811502,Medical & Healthcare
Refrigeration Engineer,15%,122,500,0.244,Supply Chain & Logistics
Stationary Engineer,15%,117,503,0.232604374,Law Enforcement
Utility Locator,15%,271,995,0.272361809,Construction
Emergency Management,15%,826,3271,0.252522164,Sales & Marketing
Management Assistant,15%,962,3872,0.248450413,Hospitality
Office Associate,15%,982,3843,0.255529534,Communication & PR
Office Manager,15%,1000,3894,0.256805342,Data & IT
Operations Associate,15%,912,3664,0.248908297,Administrative & Clerical
Personal Assistant,15%,1100,4371,0.251658659,Leadership & Strategy
Practice Administrator,15%,832,3703,0.22468269,Medical & Healthcare
Practice Manager,15%,833,3704,0.224892009,Supply Chain & Logistics
Senior Executive Assistant,15%,798,3866,0.206414899,Law Enforcement
Shift Supervisor,15%,721,3260,0.221165644,Construction
Team Lead,15%,1183,5129,0.230649249,Sales & Marketing
Aircraft Dispatcher,15%,450,1829,0.246036085,Hospitality
Aircraft Electrician,15%,371,1529,0.24264225,Communication & PR
Airport Attendant,15%,333,1591,0.209302326,Data & IT
Bus Aide,15%,256,995,0.257286432,Administrative & Clerical
Dispatch Manager,15%,832,3352,0.248210024,Leadership & Strategy
Fleet Coordinator,15%,666,2965,0.224620573,Medical & Healthcare
Fleet Mechanic,15%,630,2580,0.244186047,Supply Chain & Logistics
Flight Coordinator,15%,676,3031,0.223028703,Law Enforcement
Flight Engineer,15%,459,1956,0.234662577,Construction
Helicopter Mechanic,15%,426,1804,0.236141907,Sales & Marketing
Patient Escort,15%,459,1880,0.244148936,Hospitality
Signal Maintainer,15%,115,440,0.261363636,Communication & PR
Terminal Operator,15%,481,1893,0.254094031,Data & IT
Traffic Controller,15%,499,2201,0.226715129,Administrative & Clerical
Transit Bus Driver,15%,322,1266,0.254344392,Leadership & Strategy
Transit Operator,15%,325,1277,0.254502741,Medical & Healthcare
Transport Driver,15%,317,1305,0.242911877,Supply Chain & Logistics
Van Driver,15%,314,1244,0.252411576,Law Enforcement
Bakery Assistant,15%,366,1362,0.268722467,Construction
Barback,15%,308,1246,0.247191011,Sales & Marketing
Barista,14%,329,1429,0.230230931,Hospitality
Bartender,14%,343,1462,0.234610123,Communication & PR
Breakfast Attendant,13%,271,1062,0.255178908,Data & IT
Cart Attendant,13%,270,1124,0.240213523,Administrative & Clerical
Golf Cart Attendant,13%,374,1625,0.230153846,Leadership & Strategy
Lifeguard,12%,265,1038,0.255298651,Medical & Healthcare
Mental Health Worker,12%,596,2250,0.264888889,Supply Chain & Logistics
Neonatologist,12%,404,1453,0.278045423,Law Enforcement
Nephrologist,12%,393,1431,0.274633124,Construction
Neurologist,12%,423,1494,0.28313253,Sales & Marketing
Neuropsychologist,12%,443,1739,0.254744106,Hospitality
Neurosurgeon,12%,393,1425,0.275789474,Communication & PR
Ob Gyn,12%,410,1462,0.280437756,Data & IT
Obstetrician,12%,412,1462,0.281805746,Administrative & Clerical
Occupational Medicine Physician,12%,411,1457,0.282086479,Leadership & Strategy
Oncologist,12%,416,1455,0.285910653,Medical & Healthcare
Ophthalmologist,12%,389,1468,0.264986376,Supply Chain & Logistics
Oral Surgeon,12%,378,1405,0.269039146,Law Enforcement
Orthodontist,12%,377,1416,0.266242938,Construction
Orthopaedic Surgeon,12%,391,1430,0.273426573,Sales & Marketing
Orthopedic Nurse Practitioner,12%,438,1543,0.283862605,Hospitality
Orthopedic Surgeon,12%,393,1427,0.275402943,Communication & PR
Outpatient Therapist,12%,540,2059,0.262263235,Data & IT
Pathologist,12%,422,1559,0.270686337,Administrative & Clerical
Pediatric Cardiologist,12%,412,1477,0.278943805,Leadership & Strategy
Pediatric Dentist,12%,397,1444,0.274930748,Medical & Healthcare
Pediatric Hospitalist,12%,454,1551,0.292714378,Supply Chain & Logistics
Pediatrician,12%,451,1529,0.294964029,Law Enforcement
Periodontist,12%,375,1397,0.268432355,Construction
Physician,12%,540,2130,0.253521127,Sales & Marketing
Physician Assistant,12%,540,2123,0.254357042,Hospitality
Plastic Surgeon,12%,365,1391,0.26240115,Communication & PR
Podiatrist,12%,363,1357,0.267501842,Data & IT
Prosthetist,12%,324,1396,0.232091691,Administrative & Clerical
Prosthodontist,12%,388,1744,0.222477064,Leadership & Strategy
Public Health Dentist,12%,455,1942,0.234294542,Medical & Healthcare
Registered Dietitian,12%,491,2022,0.242828882,Supply Chain & Logistics
Renal Dietitian,12%,487,2005,0.242892768,Law Enforcement
Retail Pharmacist,12%,555,2198,0.252502275,Construction
Sports Medicine Physician,12%,480,1983,0.242057489,Sales & Marketing
Staff Pharmacist,12%,549,2329,0.235723486,Hospitality
Surgeon,12%,415,1711,0.242548217,Communication & PR
Trauma Surgeon,12%,417,1706,0.244431419,Data & IT
Urologist,12%,420,1618,0.259579728,Administrative & Clerical
Vascular Surgeon,12%,427,1737,0.245826137,Leadership & Strategy
Wic Nutritionist,11%,469,2141,0.219056516,Medical & Healthcare
Aircraft Cleaner,11%,185,826,0.223970944,Supply Chain & Logistics
Auto Appraiser,11%,341,1596,0.213659148,Law Enforcement
Auto Detailer,10%,211,895,0.23575419,Construction
Day Porter,10%,392,1650,0.237575758,Sales & Marketing
Detailer,10%,539,1896,0.2842827,Hospitality
Electrical Superintendent,10%,814,3497,0.232770947,Communication & PR
Equipment Manager,10%,723,3119,0.231805066,Data & IT
Farm,10%,553,2720,0.203308824,Administrative & Clerical
Farm Hand,10%,498,1929,0.258164852,Leadership & Strategy
Farm Manager,10%,609,2914,0.208991078,Medical & Healthcare
Farmer,10%,533,2542,0.209677419,Supply Chain & Logistics
Finisher,10%,448,2046,0.218963832,Law Enforcement
Jeweler,10%,470,2560,0.18359375,Construction
Landscape Foreman,10%,538,2203,0.244212438,Sales & Marketing
Landscaping,10%,551,2538,0.217100079,Hospitality
Loadmaster,10%,554,2024,0.273715415,Communication & PR
Low Voltage Electrician,10%,529,1951,0.271143004,Data & IT
Luthier,10%,285,1143,0.249343832,Administrative & Clerical
Maintenance Assistant,10%,725,2630,0.275665399,Leadership & Strategy
Manual Machinist,10%,194,846,0.229314421,Medical & Healthcare
Marine Electrician,10%,235,938,0.250533049,Supply Chain & Logistics
Mig Welder,10%,185,836,0.221291866,Law Enforcement
Motorcycle Mechanic,10%,204,858,0.237762238,Construction
Oil Field,10%,226,945,0.239153439,Sales & Marketing
Pipefitter,10%,201,892,0.225336323,Hospitality
Plasterer,10%,186,842,0.220902613,Communication & PR
Plumbing Inspector,10%,289,1084,0.266605166,Data & IT
Porter,10%,203,1030,0.197087379,Administrative & Clerical
Rig Welder,10%,89,370,0.240540541,Leadership & Strategy
Solar Installer,10%,198,822,0.240875912,Medical & Healthcare
Solar Panel Installer,10%,194,813,0.238622386,Supply Chain & Logistics
Solar Technician,10%,194,815,0.23803681,Law Enforcement
Sprinkler Fitter,10%,86,318,0.270440252,Construction
Union Carpenter,10%,298,1093,0.272644099,Sales & Marketing
Wildlife Technician,10%,317,1366,0.232064422,Hospitality
Wind Technician,10%,278,1090,0.255045872,Communication & PR
Wind Turbine Technician,10%,276,1087,0.253909844,Data & IT
Lumper,10%,425,1675,0.253731343,Administrative & Clerical
Manufacturing,10%,640,2655,0.241054614,Leadership & Strategy
Production Specialist,10%,646,3209,0.201308819,Medical & Healthcare
Seamstress,10%,200,1295,0.154440154,Supply Chain & Logistics
Stitcher,10%,232,1451,0.159889731,Law Enforcement
Process Development Engineer,10%,480,2317,0.207164437,Construction
Production Technician,10%,441,2194,0.201002735,Sales & Marketing
Release Manager,10%,914,4248,0.215160075,Hospitality
Technical Manager,10%,1269,5328,0.238175676,Communication & PR
Yield Engineer,10%,860,3399,0.253015593,Data & IT
Aquatics Director,10%,545,2319,0.235015093,Administrative & Clerical
Director Of Analytics,10%,1104,4608,0.239583333,Leadership & Strategy
Psychometrist,10%,593,2473,0.239789729,Medical & Healthcare
Activities Director,10%,844,3562,0.236945536,Supply Chain & Logistics
Benefits Manager,10%,932,3718,0.250672405,Law Enforcement
Campus Recruiter,10%,951,4469,0.212799284,Construction
Headhunter,10%,1005,3934,0.255465175,Sales & Marketing
Hr Assistant,10%,1135,4773,0.237795935,Hospitality
Hr Representative,10%,1147,4480,0.256026786,Communication & PR
Hse Manager,10%,1016,3865,0.262871928,Data & IT
Human Resource Assistant,10%,1143,4472,0.25559034,Administrative & Clerical
Human Resources Assistant,10%,1140,4541,0.251046025,Leadership & Strategy
Human Resources Officer,10%,1192,4622,0.257897014,Medical & Healthcare
Leadership Development Program,10%,1232,4753,0.259204713,Supply Chain & Logistics
Learning And Development Specialist,10%,1290,4877,0.264506869,Law Enforcement
Training Director,10%,1249,5027,0.248458325,Construction
Vice President Of Human Resources,10%,1110,4297,0.258319758,Sales & Marketing
Administrative Law Judge,10%,644,2667,0.241469816,Hospitality
City Attorney,10%,504,2206,0.228467815,Communication & PR
Court Administrator,10%,526,2215,0.237471783,Data & IT
District Attorney,10%,493,2151,0.229195723,Administrative & Clerical
Inspector General,10%,816,3373,0.241921138,Leadership & Strategy
Managing Partner,10%,802,2992,0.268048128,Medical & Healthcare
Mediator,10%,484,1889,0.256220222,Supply Chain & Logistics
Subject Matter Expert,10%,1085,4129,0.26277549,Law Enforcement
Animal Trainer,10%,310,1313,0.236100533,Construction
Dog Bather,10%,203,972,0.208847737,Sales & Marketing
Dog Daycare,10%,228,1127,0.20230701,Hospitality
Dog Handler,10%,216,1005,0.214925373,Communication & PR
Dog Sitter,10%,185,941,0.196599362,Data & IT
Dog Walker,10%,338,1529,0.221059516,Administrative & Clerical
Equestrian,10%,428,2239,0.191156766,Leadership & Strategy
Pet Sitter,10%,190,705,0.269503546,Medical & Healthcare
Wrangler,10%,204,747,0.273092369,Supply Chain & Logistics
Advocate,10%,534,2117,0.252243741,Law Enforcement
Chaplain,10%,391,1736,0.225230415,Construction
Hospital Chaplain,10%,495,2232,0.221774194,Sales & Marketing
Worship Leader,10%,676,2702,0.250185048,Hospitality
Youth Minister,10%,737,3318,0.22212176,Communication & PR
Assistant Golf Professional,10%,562,2674,0.210172027,Data & IT
Golf Course Superintendent,10%,559,2805,0.199286988,Administrative & Clerical
Golf Professional,10%,506,2537,0.199448167,Leadership & Strategy
Agile Coach,10%,895,3877,0.230848594,Medical & Healthcare
Bridal Consultant,10%,712,3158,0.225459151,Supply Chain & Logistics
Career Advisor,10%,915,3738,0.244783307,Law Enforcement
Career Counselor,10%,909,3747,0.242594075,Construction
Franchise Business Consultant,10%,1150,4700,0.244680851,Sales & Marketing
Job Coach,10%,915,3836,0.238529718,Hospitality
Life Coach,10%,960,3946,0.243284339,Communication & PR
Relocation Consultant,10%,896,3978,0.225238813,Data & IT
Call Center Director,10%,1109,4263,0.260145437,Administrative & Clerical
Client Advisor,10%,1087,4173,0.260484064,Leadership & Strategy
Client Coordinator,10%,1096,4176,0.262452107,Medical & Healthcare
Customer Representative,10%,1069,4137,0.258399807,Supply Chain & Logistics
Customer Service Advisor,10%,1084,4177,0.259516399,Law Enforcement
Customer Service Agent,10%,1085,4191,0.258888094,Construction
Customer Service Assistant,10%,1062,4115,0.258080194,Sales & Marketing
Customer Service Coordinator,10%,1066,4140,0.257487923,Hospitality
Customer Service Manager,10%,1071,4143,0.258508327,Communication & PR
Account Assistant,10%,1027,4177,0.245870242,Data & IT
Account Coordinator,10%,1040,4194,0.247973295,Administrative & Clerical
Advertising Assistant,10%,1165,4985,0.233701103,Leadership & Strategy
Advertising Coordinator,10%,1171,4994,0.234481378,Medical & Healthcare
Booking Agent,10%,1008,4303,0.234255171,Supply Chain & Logistics
Copywriter,10%,1119,4811,0.232591977,Law Enforcement
Creative Assistant,10%,1073,4404,0.243642144,Construction
Creative Director,10%,1152,4622,0.249242752,Sales & Marketing
Field Marketing Representative,10%,1115,4804,0.232098251,Hospitality
Marketing Copywriter,10%,981,4424,0.221745027,Communication & PR
Production Worker,10%,415,1792,0.231584821,Data & IT
Promotions Assistant,10%,1084,4837,0.224105851,Administrative & Clerical
Senior Copywriter,10%,1093,4755,0.229863302,Leadership & Strategy
Sponsor,10%,863,3787,0.227884869,Medical & Healthcare
Gas Station Cashier,10%,633,2815,0.224866785,Supply Chain & Logistics
Grocery Bagger,10%,540,2184,0.247252747,Law Enforcement
Grocery Store Manager,10%,912,4160,0.219230769,Construction
Mall,10%,650,2786,0.233309404,Sales & Marketing
Meat Cutter,10%,197,856,0.230140187,Hospitality
Merchandising,10%,747,3111,0.240115718,Communication & PR
Retail Assistant Manager,10%,1006,4288,0.234608209,Data & IT
Retail Director,10%,1003,4288,0.233908582,Administrative & Clerical
Retail District Manager,10%,1010,4280,0.235981308,Leadership & Strategy
Retail Management,10%,997,4246,0.234809232,Medical & Healthcare
Retail Manager,10%,1009,4273,0.236133864,Supply Chain & Logistics
Retail Store Manager,10%,1013,4332,0.233841182,Law Enforcement
Showroom Manager,10%,1011,4346,0.232627704,Construction
Store Director,10%,915,3852,0.237538941,Sales & Marketing
Store Manager,10%,920,4030,0.228287841,Hospitality
Building Superintendent,10%,850,3426,0.248102744,Communication & PR
Civil Engineer,10%,1005,3991,0.251816587,Data & IT
Concrete Worker,10%,463,1556,0.297557841,Administrative & Clerical
Construction Administrator,10%,859,3253,0.264063941,Leadership & Strategy
Construction Assistant,10%,639,2396,0.266694491,Medical & Healthcare
Construction Flagger,10%,468,1615,0.289783282,Supply Chain & Logistics
Construction Helper,10%,553,1976,0.2798583,Law Enforcement
Construction Project Engineer,10%,981,3677,0.266793582,Construction
Construction Superintendent,10%,911,3427,0.265830172,Sales & Marketing
Construction Technician,10%,880,3156,0.278833967,Hospitality
Director Of Construction,10%,974,3598,0.270705948,Communication & PR
Director Of Facilities,10%,959,3486,0.275100402,Data & IT
Electrician Apprentice,10%,459,1472,0.311820652,Administrative & Clerical
Glazier,10%,400,1400,0.285714286,Leadership & Strategy
Highway Maintenance Worker,10%,479,1697,0.282262817,Medical & Healthcare
Ironworker,10%,348,1201,0.289758535,Supply Chain & Logistics
Roofer,10%,90,318,0.283018868,Law Enforcement
Saw Filer,10%,80,372,0.215053763,Construction
Insurance,10%,831,3555,0.233755274,Sales & Marketing
Medical Librarian,10%,549,2812,0.195234708,Hospitality
Medication Aide,10%,491,1951,0.251665812,Communication & PR
Pharmacist Manager,10%,526,1932,0.272256729,Data & IT
Pharmacy Technician Instructor,10%,544,2435,0.223408624,Administrative & Clerical
Child Advocate,10%,602,2522,0.238699445,Leadership & Strategy
Community Organizer,10%,768,3063,0.250734574,Medical & Healthcare
Immigration Specialist,10%,769,3186,0.241368487,Supply Chain & Logistics
Social Service,10%,916,4142,0.221149203,Law Enforcement
Social Service Worker,10%,908,4129,0.219907968,Construction
Youth Mentor,10%,777,3037,0.255844583,Sales & Marketing
Supply Chain Management,10%,1073,4297,0.249709099,Hospitality
Athletic Coordinator,10%,867,3709,0.233755729,Communication & PR
Athletic Director,10%,865,3729,0.231965674,Data & IT
Certified Athletic Trainer,10%,413,1860,0.222043011,Administrative & Clerical
Head Football Coach,10%,629,3055,0.20589198,Leadership & Strategy
Naturalist,10%,435,1738,0.250287687,Medical & Healthcare
Referee,10%,299,1137,0.262972735,Supply Chain & Logistics
Umpire,10%,376,1242,0.30273752,Law Enforcement
Author,10%,1112,4724,0.235393734,Construction
Creative Writer,10%,999,4356,0.229338843,Sales & Marketing
Environment Artist,10%,786,3918,0.200612557,Hospitality
Field Interviewer,10%,976,4302,0.226871223,Communication & PR
Game Master,10%,987,4587,0.215173316,Data & IT
Grant Writer,10%,1059,4670,0.226766595,Administrative & Clerical
Multimedia Journalist,10%,998,4180,0.238755981,Leadership & Strategy
News Anchor,10%,952,4053,0.234887737,Medical & Healthcare
News Photographer,10%,913,3898,0.234222678,Supply Chain & Logistics
News Reporter,10%,961,4104,0.234161793,Law Enforcement
Newspaper Reporter,10%,950,4074,0.233186058,Construction
Photojournalist,10%,931,3928,0.237016293,Sales & Marketing
Proposal Writer,10%,1229,5096,0.241169545,Hospitality
Radio Host,10%,1123,4680,0.239957265,Communication & PR
Report Writer,10%,1252,5110,0.245009785,Data & IT
Reviewer,10%,1217,4948,0.245957963,Administrative & Clerical
Speech Writer,10%,1101,4636,0.237489215,Leadership & Strategy
Sports Anchor,10%,1096,4512,0.242907801,Medical & Healthcare
Sports Reporter,10%,1121,4583,0.244599607,Supply Chain & Logistics
Video Journalist,10%,1215,5061,0.240071132,Law Enforcement
Desktop Publisher,10%,1078,4877,0.221037523,Construction
Academic Dean,10%,861,3610,0.238504155,Sales & Marketing
Accounting Instructor,10%,899,3715,0.241991925,Hospitality
Admissions Officer,10%,945,3930,0.240458015,Communication & PR
Art Professor,10%,1027,4408,0.232985481,Data & IT
Assistant Professor,10%,933,3946,0.236441967,Administrative & Clerical
Associate Professor,10%,930,3942,0.235920852,Leadership & Strategy
Biology Instructor,10%,716,2975,0.240672269,Medical & Healthcare
Business Teacher,10%,843,3243,0.259944496,Supply Chain & Logistics
Chemistry Professor,10%,716,3008,0.238031915,Law Enforcement
College Instructor,10%,814,3258,0.249846532,Construction
Engineering Teacher,10%,928,3666,0.253136934,Sales & Marketing
Faculty,10%,826,3475,0.237697842,Hospitality
Finance Professor,10%,962,3977,0.241890873,Communication & PR
High School Counselor,10%,799,3544,0.225451467,Data & IT
Law Professor,10%,742,3222,0.230291744,Administrative & Clerical
Lead Teacher,10%,795,3359,0.236677583,Leadership & Strategy
Lecturer,10%,816,3417,0.23880597,Medical & Healthcare
Long Term Substitute Teacher,10%,726,3219,0.225535881,Supply Chain & Logistics
Math Teacher,10%,536,2215,0.241986456,Law Enforcement
Preschool Assistant,10%,666,2732,0.243777452,Construction
Professor,10%,689,3062,0.225016329,Sales & Marketing
School Counselor,10%,725,2699,0.268618007,Hospitality
School Psychologist,10%,644,2506,0.25698324,Communication & PR
School Teacher,10%,707,2791,0.253314224,Data & IT
Spanish Tutor,10%,589,2853,0.206449352,Administrative & Clerical
Special Education Teacher,10%,697,2903,0.240096452,Leadership & Strategy
Special Educator,10%,683,2612,0.261485452,Medical & Healthcare
Student Assistant,10%,798,3792,0.210443038,Supply Chain & Logistics
Student Mentor,10%,817,3663,0.223041223,Law Enforcement
Teacher Aide,10%,768,3642,0.210873147,Construction
Teacher Assistant,10%,772,3651,0.211448918,Sales & Marketing
Teachers Aide,10%,767,3639,0.21077219,Hospitality
Teaching Assistant,10%,772,3674,0.210125204,Communication & PR
Actor,10%,742,3160,0.234810127,Data & IT
Art Handler,10%,694,3025,0.229421488,Administrative & Clerical
Artist,10%,970,4370,0.221967963,Leadership & Strategy
Choir Director,10%,517,1867,0.276914837,Medical & Healthcare
Church Musician,10%,507,1876,0.270255864,Supply Chain & Logistics
Comic,10%,757,2927,0.25862658,Law Enforcement
Copy Writer,10%,1070,4414,0.242410512,Construction
Dancer,10%,537,2015,0.266501241,Sales & Marketing
Entertainment Writer,10%,1082,4477,0.241679696,Hospitality
Gamer,10%,826,3837,0.215272348,Communication & PR
Interior Design Assistant,10%,716,3344,0.214114833,Data & IT
Makeup Artist,10%,540,2932,0.184174625,Administrative & Clerical
Music Director,10%,429,1648,0.260315534,Leadership & Strategy
Promoter,10%,998,4516,0.220992028,Medical & Healthcare
Recreation Coordinator,10%,771,3608,0.213691796,Supply Chain & Logistics
Recreation Director,10%,758,3594,0.210907067,Law Enforcement
Scenic Artist,10%,411,2217,0.185385656,Construction
Talent Director,10%,1233,5283,0.233390119,Sales & Marketing
Theatre,10%,686,3196,0.214643304,Hospitality
Woodworker,10%,278,1408,0.197443182,Communication & PR
Acupuncturist,10%,172,687,0.250363901,Data & IT
Audiologist,10%,315,1312,0.240091463,Administrative & Clerical
Clinical Psychologist,10%,377,1547,0.243697479,Leadership & Strategy
Crna,10%,258,1072,0.240671642,Medical & Healthcare
Dermatologist,10%,269,1143,0.235345582,Supply Chain & Logistics
Doula,10%,267,1205,0.221576763,Law Enforcement
Endocrinologist,10%,315,1321,0.238455715,Construction
Gastroenterologist,10%,430,1784,0.24103139,Sales & Marketing
General Surgeon,10%,418,1844,0.226681128,Hospitality
Gynecologist,10%,421,1739,0.242093157,Communication & PR
Hospitalist,10%,434,1789,0.242593628,Data & IT
Immunologist,10%,455,1815,0.250688705,Administrative & Clerical
Medical Doctor,10%,472,1673,0.282127914,Leadership & Strategy
Mental Health Clinician,10%,614,2293,0.267771478,Medical & Healthcare
Mental Health Counselor,10%,614,2289,0.268239406,Supply Chain & Logistics
Mental Health Professional,10%,603,2304,0.26171875,Law Enforcement
Mental Health Specialist,10%,606,2287,0.264975951,Construction
Mental Health Technician,10%,587,2206,0.266092475,Sales & Marketing
Mental Health Therapist,10%,599,2236,0.267889088,Hospitality
Pool Attendant,10%,157,700,0.224285714,Communication & PR
Sommelier,10%,299,1202,0.24875208,Data & IT
Wait Staff,10%,537,2383,0.225346202,Administrative & Clerical
Waiter,10%,538,2459,0.218788125,Leadership & Strategy
Waitress,10%,538,2475,0.217373737,Medical & Healthcare
Babysitter,10%,305,1208,0.252483444,Supply Chain & Logistics
Child Care Assistant,10%,424,1785,0.237535014,Law Enforcement
Classroom Aide,10%,454,1797,0.252643294,Construction
